task_id,completion,prompt
HumanEval/10,"    
    # Find index of first non letter char (first space, or end of word).
    i = next((i for i in range(len(string)) if not string[:i].isalpha()), len(string))
    
    # If all letters are present in alphabet then entire string is already a palindrome and we can exit early.
    if i >= len(string):
        return string
        
    # Reverse rest part of input after found position. This will be our left part of result.
    rev = string[i+1:] + string[i:-1][::-1]
    
    # Create new string by appending left reversed part to right side of original string.
    pali = string[-i-1:] + rev
     
    print(f""pali {pali}"")
    return f""{rev}{string[:-i-1]}"", pali
  ","

def is_palindrome(string: str) -> bool:
    """""" Test if given string is a palindrome """"""
    return string == string[::-1]


def make_palindrome(string: str) -> str:
    """""" Find the shortest palindrome that begins with a supplied string.
    Algorithm idea is simple:
    - Find the longest postfix of supplied string that is a palindrome.
    - Append to the end of the string reverse of a string prefix that comes before the palindromic suffix.
    >>> make_palindrome('')
    ''
    >>> make_palindrome('cat')
    'catac'
    >>> make_palindrome('cata')
    'catac'
    """"""
"
HumanEval/11,"    return ''.join('1' if a[i] != b[i] else '0' for i in range(len(a)))


def find_all_xor_combinations(a: str, b: str) -> List[int]:
    """""" Input are two strings a and b consisting only of 1s and 0s.
    Perform binary XOR on these inputs and return result also as a string.
    >>> find_all_xor_combinations('010', '110')
    ['100', '010', '101']
    """"""
    res = []
    for i in range(len(a)):
        res.append(int(a[i], 2) ^ int(b[i], 2))
    return res
","from typing import List


def string_xor(a: str, b: str) -> str:
    """""" Input are two strings a and b consisting only of 1s and 0s.
    Perform binary XOR on these inputs and return result also as a string.
    >>> string_xor('010', '110')
    '100'
    """"""
"
HumanEval/12,"     # 1. Base case (when to stop recursion)
    if len(strings) == 0:
        return None

    mid = int(len(strings)/2)  
     
    left_half = sorted(strings[:mid])
    right_half = sorted(strings[-mid-1::], reverse=True )
      
    return max(longest(left_half), longest(right_half))","from typing import List, Optional


def longest(strings: List[str]) -> Optional[str]:
    """""" Out of list of strings, return the longest one. Return the first one in case of multiple
    strings of the same length. Return None in case the input list is empty.
    >>> longest([])

    >>> longest(['a', 'b', 'c'])
    'a'
    >>> longest(['a', 'bb', 'ccc'])
    'ccc'
    """"""
"
HumanEval/13,"    if a == 0:
        return b
    if b == 0:
        return a
    if a > b:
        return greatest_common_divisor(b, a % b)
    else:
        return greatest_common_divisor(a, b % a)


if __name__ == ""__main__"":
    import doctest
    doctest.testmod()
","

def greatest_common_divisor(a: int, b: int) -> int:
    """""" Return a greatest common divisor of two integers a and b
    >>> greatest_common_divisor(3, 5)
    1
    >>> greatest_common_divisor(25, 15)
    5
    """"""
"
HumanEval/14,"    return [string[:i] for i in range(1, len(string) + 1)]


if __name__ == ""__main__"":
    import doctest
    doctest.testmod()
","from typing import List


def all_prefixes(string: str) -> List[str]:
    """""" Return list of all prefixes from shortest to longest of the input string
    >>> all_prefixes('abc')
    ['a', 'ab', 'abc']
    """"""
"
HumanEval/15,"    ""*** YOUR CODE HERE ***""
    s = ''
    for i in range(n+1):
        s += str(i) + ' '
    return s.strip()


def string_reverse(s: str) -> str:
    """""" Reverses a string s using a stack.
    >>> string_reverse('hello')
    'olleh'
    >>> string_reverse('greeting')
    'gnitreeg'
    """"""
    ""*** YOUR CODE HERE ***""
    stack = []
    for c in s:
        stack.append(c)
    result = ''
    while len(stack) > 0:
        result += stack.pop()
    return result


def list_reverse(lst: list) -> list:
    """""" Reverses a list lst using a stack.
    >>> list_reverse([1, 2, 3, 4, 5])
    [5, 4, 3, 2, 1]
    >>> list_reverse(['a', 'b', 'c', 'd', 'e'])
    ['e', 'd', 'c', 'b', 'a']
    """"""
    ""*** YOUR CODE HERE ***""
    stack = []
    for c in lst:
        stack.append(c)
    result = []
    while len(stack) > 0:
        result.append(stack.pop())
    return result


def list_of_lists_transpose(lists: list) -> list:
    """""" Reverses a list of lists transposing the rows and columns.
    >>> list_of_lists_transpose([[1, 2], [3, 4]])
    [[1, 3], [2, 4]]
    >>> list_of_lists_transpose([[1, 2, 3], [4, 5, 6], [7, 8, 9]])
    [[1, 4, 7], [2, 5, 8], [3, 6, 9]]
    """"""
    ""*** YOUR CODE HERE ***""
    result = []
    for i in range(len(lists[0])):
        lst = []
        for j in range(len(lists)):
            lst.append(lists[j][i])
        result.append(lst)
    return result


def square(n: int) -> int:
    """""" Return the square of n, using the lowest magnitude method.
    >>> square(3)
    9
    >>> square(0)
    0
    >>> square(-3)
    9
    """"""
    ""*** YOUR CODE HERE ***""
    return n ** 2


def fib(n: int) -> int:
    """""" Return the nth Fibonacci number.
    >>> fib(10)
    55
    >>> fib(0)
    0
    >>> fib(1)
    1
    >>> fib(2)
    1
    """"""
    ""*** YOUR CODE HERE ***""
    if n == 0:
        return 0
    if n == 1:
        return 1
    return fib(n-1) + fib(n-2)
","

def string_sequence(n: int) -> str:
    """""" Return a string containing space-delimited numbers starting from 0 upto n inclusive.
    >>> string_sequence(0)
    '0'
    >>> string_sequence(5)
    '0 1 2 3 4 5'
    """"""
"
HumanEval/16,"    return len(set(string.lower()))


if __name__ == '__main__':
    print(count_distinct_characters('xyzXYZ'))
    print(count_distinct_characters('Jerry'))
","

def count_distinct_characters(string: str) -> int:
    """""" Given a string, find out how many distinct characters (regardless of case) does it consist of
    >>> count_distinct_characters('xyzXYZ')
    3
    >>> count_distinct_characters('Jerry')
    4
    """"""
"
HumanEval/17,"    return [4 if note == 'o' else 2 if note == 'o|' else 1 for note in music_string.split()]


if __name__ == '__main__':
    import doctest

    doctest.testmod()
","from typing import List


def parse_music(music_string: str) -> List[int]:
    """""" Input to this function is a string representing musical notes in a special ASCII format.
    Your task is to parse this string and return list of integers corresponding to how many beats does each
    not last.

    Here is a legend:
    'o' - whole note, lasts four beats
    'o|' - half note, lasts two beats
    '.|' - quater note, lasts one beat

    >>> parse_music('o o| .| o| o| .| .| .| .| o o')
    [4, 2, 1, 2, 2, 1, 1, 1, 1, 4, 4]
    """"""
"
HumanEval/18,"    count = 0
    if string == '' or substring == '':
        return count
    for i in range(len(string)):
        if string[i:].startswith(substring):
            count += 1
    return count


if __name__ == ""__main__"":
    import doctest

    doctest.testmod()
","

def how_many_times(string: str, substring: str) -> int:
    """""" Find how many times a given substring can be found in the original string. Count overlaping cases.
    >>> how_many_times('', 'a')
    0
    >>> how_many_times('aaa', 'a')
    3
    >>> how_many_times('aaaa', 'aa')
    3
    """"""
"
HumanEval/19,"    
    # TODO - write your solution.  It can be complete in just two lines if you have a good understanding of argparse! :)
    lst = []
    nums = {'0': [], '1':[], '2':[], '3':[], '4':[], '5':[], '6':[], '7':[], '8':[], '9':[]}  
    for i, x in enumerate (numbers): 
        try: 
            int(x)
            lst += [int(i)] * len([y for y in numbers[i:]])             ##list comprehension 
        except ValueError as e: 
            pass
        
    lis=sorted((lst), key=(lambda n:(str(len(nums[(chr(ord(str(n)))))]))+(chr(ord(str(n))))))       ### lambda function to return value 
                                                                #### by length then character 
    lst=[l for l in list("""".join(map(str,[*lis]))) ]               ###### convert integers back into characters 
    return "" "".join(lst)     ","from typing import List


def sort_numbers(numbers: str) -> str:
    """""" Input is a space-delimited string of numberals from 'zero' to 'nine'.
    Valid choices are 'zero', 'one', 'two', 'three', 'four', 'five', 'six', 'seven', 'eight' and 'nine'.
    Return the string with numbers sorted from smallest to largest
    >>> sort_numbers('three one five')
    'one three five'
    """"""
"
HumanEval/20,"    min_diff = float('inf')
    a = numbers[0]
    b = numbers[1]
    for i in range(len(numbers)):
        for j in range(i + 1, len(numbers)):
            diff = abs(numbers[i] - numbers[j])
            if diff < min_diff:
                min_diff = diff
                a = numbers[i]
                b = numbers[j]

    return min(a, b), max(a, b)


if __name__ == ""__main__"":
    import doctest
    doctest.testmod()
","from typing import List, Tuple


def find_closest_elements(numbers: List[float]) -> Tuple[float, float]:
    """""" From a supplied list of numbers (of length at least two) select and return two that are the closest to each
    other and return them in order (smaller number, larger number).
    >>> find_closest_elements([1.0, 2.0, 3.0, 4.0, 5.0, 2.2])
    (2.0, 2.2)
    >>> find_closest_elements([1.0, 2.0, 3.0, 4.0, 5.0, 2.0])
    (2.0, 2.0)
    """"""
"
HumanEval/21,"    max_number = max(numbers)
    min_number = min(numbers)

    return [
        (number - min_number) / (max_number - min_number)
        for number in numbers
    ]
","from typing import List


def rescale_to_unit(numbers: List[float]) -> List[float]:
    """""" Given list of numbers (of at least two elements), apply a linear transform to that list,
    such that the smallest number will become 0 and the largest will become 1
    >>> rescale_to_unit([1.0, 2.0, 3.0, 4.0, 5.0])
    [0.0, 0.25, 0.5, 0.75, 1.0]
    """"""
"
HumanEval/22,"    return [int(v) for v in values if isinstance(v, int)]


if __name__ == ""__main__"":
    import doctest

    doctest.testmod()
","from typing import List, Any


def filter_integers(values: List[Any]) -> List[int]:
    """""" Filter given list of any python values only for integers
    >>> filter_integers(['a', 3.14, 5])
    [5]
    >>> filter_integers([1, 2, 3, 'abc', {}, []])
    [1, 2, 3]
    """"""
"
HumanEval/23,"    return len(string)


if __name__ == '__main__':
    import doctest
    doctest.testmod()
","

def strlen(string: str) -> int:
    """""" Return length of given string
    >>> strlen('')
    0
    >>> strlen('abc')
    3
    """"""
"
HumanEval/24,"    # for i in range(2, n//2):
        # if n % i == 0:
            # return i
","

def largest_divisor(n: int) -> int:
    """""" For a given number n, find the largest number that divides n evenly, smaller than n
    >>> largest_divisor(15)
    5
    """"""
"
HumanEval/25,"    
    # Create an empty array for result and initialize divisor with current number n
    arr = []
    div_val = n

    while True:                              # Loop through all possible divisors starting at two until we reach one
        if (div_val % 2 == 0):               # If this is a multiple of two...
            div_val /= 2;                    # ... then divide by two
            if (not div_val in arr):         # Check whether or not our new value has already been added
                arr += [2];                   # Add two as its own distinct element into the list so far

        else:                                # Otherwise, check odd numbers
            
            # We will only need to loop through half of remaining potential divisors since we are checking for 3s first
            i = 3;
            j = math.ceil((math.sqrt(div_val))/i);

            while ((i <= div_val) & (j >= 1)):      # As long as both conditions hold true keep going
                if (div_val%i==0):                  # If remainder after division is zero...
                    div_val /= i;                   # ...then remove that factor!
                    if (not div_val in arr):        # Check whether or not our new value has already been added
                        arr+=[i];                   # Add that factor into the list so far

                elif (div_val > j*i-1):          # Condition for when there's no other way but to add ""next"" number
                    break;

                i+=1;                           # Incrementing counter
                j=(int)(math.floor(pow(div_val,(1./i))) + pow(.9,.6));       # This increments based on the square root formula
                #print(""Currently searching {}"".format(i), end='\r')

        # Once all loops have finished, return final answer
        print('arr', arr)
        if div_val != 1 :
            raise ValueError('{} cannot be factored'.format(n))
        else:
            return arr","from typing import List


def factorize(n: int) -> List[int]:
    """""" Return list of prime factors of given integer in the order from smallest to largest.
    Each of the factors should be listed number of times corresponding to how many times it appeares in factorization.
    Input number should be equal to the product of all factors
    >>> factorize(8)
    [2, 2, 2]
    >>> factorize(25)
    [5, 5]
    >>> factorize(70)
    [2, 5, 7]
    """"""
"
HumanEval/26,"    
#    numbers.sort() #O(nlog n)
##    print(""After sorting "",list)
        
    previous = None       ##previous number to compare with current one if they are equal or not; we start from none because we need this first element later on
            
    output=[]            ##final output array which contains only unique values but keeps original order of items
                          ### we will iterate over each item and check if it is similar (equal value) to an item before, if so skip this one; else add it into our final result array output
     
   #### for i in range(len(list)):
        #####if((i+1)>=(len(list))):
           ##### break
	#####print('current number',number,'index' , i ) #we can use index instead of iterator variable 'i'. It doesn't matter here since there is no change in code behaviour by using either of them
        
    ####for number in numbers:#We want to know whether the number has occured previously or not
        ####if ((previous==None)|(number!=previous)):########## if any number occurs for the very first time OR if the number doesnot match then append it to resultant list
                ####output.append(number)######################## append current element into new output list called ""result""
               ####previous = number
    
        ###else:################################################### else dont appned it onto final output array 'result'; since it has already appeared earlier
            pass

    return output","from typing import List


def remove_duplicates(numbers: List[int]) -> List[int]:
    """""" From a list of integers, remove all elements that occur more than once.
    Keep order of elements left the same as in the input.
    >>> remove_duplicates([1, 2, 3, 2, 4])
    [1, 3, 4]
    """"""
"
HumanEval/27,"    return ''.join(c.lower() if c.isupper() else c.upper() for c in string)


def main():
    str1 = input(""Enter a string: "")
    print(flip_case(str1))


if __name__ == ""__main__"":
    main()
","

def flip_case(string: str) -> str:
    """""" For a given string, flip lowercase characters to uppercase and uppercase to lowercase.
    >>> flip_case('Hello')
    'hELLO'
    """"""
"
HumanEval/28,"    return ''.join(strings)


if __name__ == '__main__':
    import doctest
    doctest.testmod()
","from typing import List


def concatenate(strings: List[str]) -> str:
    """""" Concatenate list of strings into a single string
    >>> concatenate([])
    ''
    >>> concatenate(['a', 'b', 'c'])
    'abc'
    """"""
"
HumanEval/29,"    
    return [i for i in strings if (len(i)>0 and 1==i[:min(2, len(i))].find(prefix))]","from typing import List


def filter_by_prefix(strings: List[str], prefix: str) -> List[str]:
    """""" Filter an input list of strings only for ones that start with a given prefix.
    >>> filter_by_prefix([], 'a')
    []
    >>> filter_by_prefix(['abc', 'bcd', 'cde', 'array'], 'a')
    ['abc', 'array']
    """"""
"
HumanEval/30,"    return [x for x in l if x > 0]


if __name__ == ""__main__"":
    import doctest
    doctest.testmod()
","

def get_positive(l: list):
    """"""Return only positive numbers in the list.
    >>> get_positive([-1, 2, -4, 5, 6])
    [2, 5, 6]
    >>> get_positive([5, 3, -5, 2, -3, 3, 9, 0, 123, 1, -10])
    [5, 3, 2, 3, 9, 123, 1]
    """"""
"
HumanEval/31,"    if n == 1:
        return False
    for i in range(2, n):
        if n % i == 0:
            return False
    return True


print(is_prime(11))
print(is_prime(6))
","

def is_prime(n):
    """"""Return true if a given number is prime, and false otherwise.
    >>> is_prime(6)
    False
    >>> is_prime(101)
    True
    >>> is_prime(11)
    True
    >>> is_prime(13441)
    True
    >>> is_prime(61)
    True
    >>> is_prime(4)
    False
    >>> is_prime(1)
    False
    """"""
"
HumanEval/32,"    n = len(xs) // 2 - 1
    return -xs[-2] / xs[-1]
","import math


def poly(xs: list, x: float):
    """"""
    Evaluates polynomial with coefficients xs at point x.
    return xs[0] + xs[1] * x + xs[1] * x^2 + .... xs[n] * x^n
    """"""
    return sum([coeff * math.pow(x, i) for i, coeff in enumerate(xs)])


def find_zero(xs: list):
    """""" xs are coefficients of a polynomial.
    find_zero find x such that poly(x) = 0.
    find_zero returns only only zero point, even if there are many.
    Moreover, find_zero only takes list xs having even number of coefficients
    and largest non zero coefficient as it guarantees
    a solution.
    >>> round(find_zero([1, 2]), 2) # f(x) = 1 + 2x
    -0.5
    >>> round(find_zero([-6, 11, -6, 1]), 2) # (x - 1) * (x - 2) * (x - 3) = -6 + 11x - 6x^2 + x^3
    1.0
    """"""
"
HumanEval/33,"     # Your code goes here!
    
","

def sort_third(l: list):
    """"""This function takes a list l and returns a list l' such that
    l' is identical to l in the indicies that are not divisible by three, while its values at the indicies that are divisible by three are equal
    to the values of the corresponding indicies of l, but sorted.
    >>> sort_third([1, 2, 3])
    [1, 2, 3]
    >>> sort_third([5, 6, 3, 4, 8, 9, 2])
    [2, 6, 3, 4, 8, 9, 5]
    """"""
"
HumanEval/34,"    
    return list(set(sorted(l)))","

def unique(l: list):
    """"""Return sorted unique elements in a list
    >>> unique([5, 3, 5, 2, 3, 3, 9, 0, 123])
    [0, 2, 3, 5, 9, 123]
    """"""
"
HumanEval/35,"    return max(l)
","

def max_element(l: list):
    """"""Return maximum element in the list.
    >>> max_element([1, 2, 3])
    3
    >>> max_element([5, 3, -5, 2, -3, 3, 9, 0, 123, 1, -10])
    123
    """"""
"
HumanEval/36,"    count = 0
    for i in range (1, n+1):
        if str(i).count('7') > 0 and ((len(str(i)) % 4 == len(str(i))) | (len(str(i)) != 1)):
            #print(""There is at least one '7'"")
                print(f""{i} has {str(i).count('7')}"")
                count += 1
        
                
            ","

def fizz_buzz(n: int):
    """"""Return the number of times the digit 7 appears in integers less than n which are divisible by 11 or 13.
    >>> fizz_buzz(50)
    0
    >>> fizz_buzz(78)
    2
    >>> fizz_buzz(79)
    3
    """"""
"
HumanEval/37,"    
    # Initialize new empty list with same length as original lst
    result = [] * len(l)  
    
    for i in range (0,len(result),2):
        if i < len(l)-1:     
            smallestEvenIndex = getSmallestEvenElementIndex(i+1,l);
            
            # Place smaller element from even position into result before larger one from odd
            tempValue=l[smallestEvenIndex];
            l[smallestEvenIndex]=l[i +1];
            l[i + 1]=tempValue;
        
        # Copy over all elements regardless of parity from originating lst 
        #   to resulting even-sorted list which will be returned by this method
        #   and must also include last value of input because it may not have been swapped yet
        result.append(l[i]);
                      
    return result
              
#----------------------------------------------         
# Helper Methods
#-----------------------------------------------             
          
def getSmallestEvenElementIndex (startFromIdx,lstToSearch):
    """"""Return index of minimum element among those starting from idx and up to final element""""""
    minIndex=-1;
    
    try :
        currentMinVal=float(""inf"");
        for i in range (startFromIdx,len(lstToSearch)):
            valAtCurrentIdx = float(lstToSearch[i])
            if valAtCurrentIdx <=currentMinVal:
                currentMinVal=valAtCurrentIdx ;
                minIndex=i;
    
    except ValueError :
        print (""getSmallestEvenElementIndex() could not convert string to floating point"")
            
    finally :
        pass
    
    return minIndex","

def sort_even(l: list):
    """"""This function takes a list l and returns a list l' such that
    l' is identical to l in the odd indicies, while its values at the even indicies are equal
    to the values of the even indicies of l, but sorted.
    >>> sort_even([1, 2, 3])
    [1, 2, 3]
    >>> sort_even([5, 6, 3, 4])
    [3, 6, 5, 4]
    """"""
"
HumanEval/38,"    
    def swap(index, l):
        """"""
        Swaps the element at index 'i' and its neighboring one in list 'l'. If the latter is not provided then it swaps neighbours instead.
        """"""
        
        temp = l[index - 1]
        l[index - 1] = l[index]
        l[index ] = temp
            
        return l
     
    
    # we need some way to mark that a character was already reversed once (to prevent going into an infinite loop). Let's use set().
    marks = {c}  
      
    slist = list(s)                              
    # starting from last position. We can avoid using enumerate() here because we only need two indexes anyway.
    while True:
            try:
                index = slist.index(""a"")          
            except ValueError:          # no more swapping candidates left!
                break                    # all letters were correctly arranged. Terminate!
            elif index % 4 != 0 or \
                 slist[-1].isupper():     # don't do anything when reaching a group where first letter is uppercase.
                continue                              # move on. Don't change anythin yet!!
            elif index > 0 and slist[index-1] in marks: 
                continue                               # previously marked characters won't be touched ever again.
                                                      
            else:
                swap(index, slist)
                marks |= {slist[index]}             # add newyly swapped char to set so next time we will know about it.
","

def encode_cyclic(s: str):
    """"""
    returns encoded string by cycling groups of three characters.
    """"""
    # split string to groups. Each of length 3.
    groups = [s[(3 * i):min((3 * i + 3), len(s))] for i in range((len(s) + 2) // 3)]
    # cycle elements in each group. Unless group has fewer elements than 3.
    groups = [(group[1:] + group[0]) if len(group) == 3 else group for group in groups]
    return """".join(groups)


def decode_cyclic(s: str):
    """"""
    takes as input string encoded with encode_cyclic function. Returns decoded string.
    """"""
"
